words	pos	ner
"['Feeling', 'to', 'much', 'proud', 'ND', 'happy', 'ki', 'Punjabiya', 'toh', 'zada', 'vadiya', 'koi', 'hiaga', 'nahi', ',', 'and', 'really', 'the', 'beauty', 'of', 'North', 'is', 'unbeatable', 'as', 'comparison', 'to', 'another', 'one', ""'"", 's', '.', 'ð\x9f\x98\x8a', 'ð\x9f\x98\x8a']"	['VBG', 'TO', 'JJ', 'NN', 'NNP', 'JJ', 'NN', 'NNP', 'NN', 'NNP', 'NN', 'NN', 'NN', 'NN', ',', 'CC', 'RB', 'DT', 'NN', 'IN', 'NNP', 'VBZ', 'JJ', 'IN', 'NN', 'TO', 'DT', 'NN', 'POS', 'NN', '.', 'CD', 'NN']	['O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['""', 'there', 'ai', 'n', ""'"", 't', 'no', 'party', 'like', 'a', 'Daily', 'Bumps', 'party', '""', 'hahaha', 'that', ""'"", 's', 'true']"	"['NN', 'EX', 'VBP', 'NNS', 'POS', 'NN', 'DT', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NN', 'NNP', 'NN', 'WDT', ""''"", 'VBZ', 'JJ']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Damn', 'adapt', 'be', 'looking', 'like', 'the', 'guy', 'in', 'the', 'skittles', 'commercial']	['NNP', 'NN', 'VB', 'VBG', 'IN', 'DT', 'NN', 'IN', 'DT', 'NNS', 'JJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O']
['chief', 'thats', 'too', 'harsh', '!', '!', '!', '!', '!', 'hangwani', 'u', 'see', 'now', '!', '!', '!', 'next', 'time', 'dont', 'rush', ',', 'KK', 'is', 'going', 'to', 'be', 'happy']	['JJ', 'NNS', 'RB', 'JJ', '.', '.', '.', '.', '.', 'JJ', 'JJ', 'NN', 'RB', '.', '.', '.', 'JJ', 'NN', 'JJ', 'NN', ',', 'NNP', 'VBZ', 'VBG', 'TO', 'VB', 'JJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['Pyrion', 'continues', 'his', 'streak', 'as', 'the', 'world', ""'"", 's', 'worst', 'detective', '.']"	['NN', 'VBZ', 'PRP$', 'NN', 'IN', 'DT', 'NN', 'POS', 'NN', 'RB', 'NN', '.']	['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['If', 'Roman', 'made', 'a', 'new', 'channel', ',', 'I', 'promise', ',', 'it', 'will', 'get', 'a', 'million', 'subs', 'in', 'a', 'day']	['IN', 'NNP', 'VBD', 'DT', 'JJ', 'NN', ',', 'PRP', 'VBP', ',', 'PRP', 'MD', 'VB', 'DT', 'CD', 'NN', 'IN', 'DT', 'NN']	['O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['That', 'moment', 'lil', 'wayne', 'get', 'on', 'the', 'hook', 'and', 'i', 'gotta', 'hit', 'mute', '!', '!', 'ð\x9f\x98©', 'ð\x9f\x98«']	['DT', 'NN', 'VBZ', 'JJ', 'NN', 'IN', 'DT', 'NN', 'CC', 'NN', 'VBP', 'VBN', 'NN', '.', '.', 'JJ', 'NN']	['O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['Trump', ""'"", 's', 'a', 'stud']"	['NNP', 'POS', 'NN', 'DT', 'NN']	['B-person', 'O', 'O', 'O', 'O']
"['No', 'intent', 'to', 'hurt', 'Cindy', '.', 'Hope', 'she', 'is', 'okay', '.', 'That', ""'"", 's', 'no', 'way', 'to', 'treat', 'a', 'lady', '.']"	"['DT', 'NN', 'TO', 'VB', 'NNP', '.', 'NNP', 'PRP', 'VBZ', 'JJ', '.', 'DT', ""''"", 'VBZ', 'DT', 'NN', 'TO', 'VB', 'DT', 'NN', '.']"	['O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Well', 'thank', 'you', 'LoL', 'for', 'making', 'Jinx', 'she', 'made', 'me', 'try', 'this', 'game', 'out', '.', 'THANK', 'YOU', 'JINX']	['RB', 'IN', 'PRP', 'VBP', 'IN', 'VBG', 'NNP', 'PRP', 'VBD', 'PRP', 'VB', 'DT', 'NN', 'RB', '.', 'VB', 'JJ', 'NNP']	['O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person']
['That', 'rick', 'roll', 'was', 'so', 'good', 'XD']	['DT', 'VBD', 'NN', 'VBD', 'RB', 'JJ', 'NN']	['O', 'B-person', 'O', 'O', 'O', 'O', 'O']
['I', 'love', 'the', 'Canadian', 'Pokemon', 'characters', 'ð\x9f\x98\x82', 'ð\x9f\x98\x82', 'ð\x9f\x98\x82']	['PRP', 'VBP', 'DT', 'JJ', 'NNP', 'NNS', 'VBP', 'CD', 'NN']	['O', 'O', 'O', 'B-location', 'B-creative-work', 'O', 'O', 'O', 'O']
['Nightwing', 'and', 'black', 'adam']	['NN', 'CC', 'JJ', 'NN']	['B-person', 'O', 'B-person', 'I-person']
['Why', 'isnt', 'anybody', 'fckin', 'talking', 'that', 'roger', 'the', 'roo', 'is', 'real', '!', '!', 'Like', 'come', 'on', 'people', 'he', 'is', 'like', 'the', 'biggest', 'evidance', 'that', 'animals', 'are', 'equally', 'adptaple', 'as', 'humans']	['WRB', 'NN', 'NN', 'VB', 'VBG', 'IN', 'NN', 'DT', 'NN', 'VBZ', 'JJ', '.', '.', 'IN', 'VBN', 'IN', 'NNS', 'PRP', 'VBZ', 'IN', 'DT', 'JJS', 'NN', 'IN', 'NNS', 'VBP', 'RB', 'JJ', 'IN', 'NNS']	['O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['Good', 'job', 'Officer', '!', 'Now', 'let', ""'"", 's', 'wait', 'for', 'the', 'internet', 'trolls', 'to', 'say', 'it', ""'"", 's', 'fake', 'or', 'some', 'dumb', 'shit', '.']"	"['JJ', 'NN', 'NNP', '.', 'RB', 'VBP', ""''"", 'JJ', 'NN', 'IN', 'DT', 'NN', 'NNS', 'TO', 'VB', 'PRP', ""''"", 'JJ', 'NN', 'CC', 'DT', 'JJ', 'NN', '.']"	['O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['I', 'might', 'kill', 'myself', '.', '.', 'Just', 'so', 'they', 'can', 'play', 'this', 'at', 'my', 'funeral', '.']	['PRP', 'MD', 'VB', 'PRP', '.', '.', 'RB', 'IN', 'PRP', 'MD', 'VB', 'DT', 'IN', 'PRP$', 'JJ', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['gotta', 'love', 'that', 'Canon', 'g', '7', 'x', 'focus', 'seeking', '.']	['NN', 'NN', 'WDT', 'NNP', 'VBD', 'CD', 'JJ', 'NN', 'VBG', '.']	['O', 'O', 'O', 'B-product', 'I-product', 'I-product', 'I-product', 'O', 'O', 'O']
['Shaq', 'had', 'me', 'weak', 'ð\x9f\x98\x82', '.', '(', 'Cough', 'cough', 'so', 'umm', 'you', 'not', 'gon', 'add', 'my', 'name', 'on', 'that', 'list', 'lol', ')']	['NNP', 'VBD', 'PRP', 'JJ', 'NN', '.', '(', 'NNP', 'RB', 'RB', 'JJ', 'PRP', 'RB', 'VB', 'VB', 'PRP$', 'NN', 'IN', 'DT', 'NN', 'NN', ')']	['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Jedidiah', 'is', 'beyond', 'irritating', '.', 'seriously', ',', 'she', 'literally', 'paraphrases', 'the', 'others', 'or', 'says', 'nothing', 'when', 'it', 'comes', 'to', 'anything', 'trump', 'related']	['NNP', 'VBZ', 'IN', 'VBG', '.', 'RB', ',', 'PRP', 'RB', 'VBZ', 'DT', 'NNS', 'CC', 'VBZ', 'NN', 'WRB', 'PRP', 'VBZ', 'TO', 'NN', 'NN', 'VBD']	['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O']
['Motherfucke', 'r', '.', 'A', 'lot', 'of', 'people', 'dont', 'have', 'any', 'phone', '.', 'But', 'breaking', 'the', 'phones']	['NNP', 'NN', '.', 'DT', 'NN', 'IN', 'NNS', 'NNS', 'VBP', 'DT', 'NN', '.', 'CC', 'VBG', 'DT', 'NNS']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Marty', 'Short', 'is', 'the', 'best']	['NNP', 'NNP', 'VBZ', 'DT', 'JJS']	['B-person', 'I-person', 'O', 'O', 'O']
"['I', ""'"", 'm', 'here', 'because', 'of', 'Tay', '.', '.', '.', 'am', 'I', 'alone', '?', 'Love', 'This', 'song', 'â\x9d¤', 'â\x9c¨']"	"['PRP', ""''"", 'NN', 'RB', 'IN', 'IN', 'NNP', '.', '.', '.', 'VBP', 'PRP', 'RB', '.', 'VB', 'DT', 'NN', 'VBZ', 'NN']"	['O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['The', 'Chinese', 'said', '""', 'it', 'can', 'come', 'in', ',', 'but', 'ca', 'n', ""'"", 't', 'get', 'out', '""']"	['DT', 'NNPS', 'VBD', 'IN', 'PRP', 'MD', 'VB', 'IN', ',', 'CC', 'MD', 'VB', 'POS', 'NNS', 'VBP', 'RP', 'NN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['Nothing', 'beats', 'a', 'thick', 'French', 'copper', 'pan', 'with', 'stainless', 'lining', '.', '.', '.', '.', '.', 'if', 'All', 'Clad', 'and', 'Demeyere', 'are', 'the', 'Ferrari', ""'"", 's', 'of', 'pots', 'then', 'a', 'Matfer', 'Bourgeat', 'is', 'a', 'Bugatti']"	['NN', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'NN', 'IN', 'JJ', 'NN', '.', '.', '.', '.', '.', 'IN', 'DT', 'NNP', 'CC', 'NNP', 'VBP', 'DT', 'NNP', 'POS', 'NN', 'IN', 'NNS', 'RB', 'DT', 'NNP', 'NNP', 'VBZ', 'DT', 'NNP']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O', 'B-product', 'O', 'O', 'B-product', 'I-product', 'I-product', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O', 'O', 'B-product']
['Did', 'this', 'come', 'out', 'after', 'twin', 'peaks', 'or', 'was', 'it', 'supposed', 'to', 'be', 'watched', 'before', 'it', 'all', 'kicked', 'off', '?']	['NNP', 'DT', 'NN', 'RP', 'IN', 'JJ', 'NNS', 'CC', 'VBD', 'PRP', 'VBD', 'TO', 'VB', 'VBN', 'IN', 'PRP', 'DT', 'VBD', 'RP', '.']	['O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Welcome', 'to', 'Oregon', 'from', 'Troutdale', '(', 'east', 'portland', ')', ',', 'enjoy', 'our', '(', 'few', ')', 'nice', 'days', 'right', 'now', '.']	['VB', 'TO', 'NNP', 'IN', 'NNP', '(', 'JJ', 'NN', ')', ',', 'VB', 'PRP$', '(', 'JJ', ')', 'JJ', 'NNS', 'RB', 'RB', '.']	['O', 'O', 'B-location', 'O', 'B-location', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Nifty', 'Gadgets', '!', 'Love', 'the', 'light', 'best', '.', 'Yet', 'I', 'would', 'camp', 'with', 'all', 'of', 'the', 'items', '.', 'Ax', 'was', 'cool', 'too', '!']	['NNP', 'VBZ', '.', 'VB', 'DT', 'JJ', 'JJS', '.', 'CC', 'PRP', 'MD', 'VB', 'IN', 'DT', 'IN', 'DT', 'NNS', '.', 'NNP', 'VBD', 'JJ', 'RB', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Question', '.', 'How', 'do', 'you', 'have', '267', 'K', 'subs', 'and', 'ZERO', 'VIEWS', '?', '#', 'bots', '#', 'payforsubs']	['NN', '.', 'WRB', 'VBP', 'PRP', 'VB', 'CD', 'NNP', 'NNS', 'CC', 'NNP', 'NNP', '.', '#', 'NNS', '#', 'NNS']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['can', 'i', 'have', 'fidget', 'spinner', 'my', 'name', 'is', 'called', 'Ahmed', 'and', 'i', 'am', 'go', 'to', 'orchard', 'academy', 'in', 'milton', 'keyons']	['MD', 'VB', 'VBP', 'VBN', 'JJ', 'PRP$', 'NN', 'VBZ', 'VBN', 'NNP', 'CC', 'VB', 'VBP', 'VB', 'TO', 'VB', 'NN', 'IN', 'NN', 'NNS']	['O', 'O', 'O', 'B-product', 'I-product', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'O', 'B-location', 'I-location']
['when', 'people', 'want', 'a', 'Pure', 'breed', 'they', 'should', 'buy', 'a', 'dog', 'with', 'pedigree', '.', 'if', 'they', 'dont', 'care', 'then', 'just', 'support', 'a', 'shelter', ',', 'therr', 'is', 'tons', 'of', 'young', 'dogs', 'and', 'even', 'puppies', '.', '.', '.']	['WRB', 'NNS', 'VBP', 'DT', 'NNP', 'NN', 'PRP', 'MD', 'VB', 'DT', 'NN', 'IN', 'NN', '.', 'IN', 'PRP', 'VBP', 'VB', 'RB', 'RB', 'VB', 'DT', 'NN', ',', 'NN', 'VBZ', 'NNS', 'IN', 'JJ', 'NNS', 'CC', 'RB', 'NNS', '.', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Kimmel', '2015', '?']	['NNP', 'CD', '.']	['B-person', 'O', 'O']
