words	pos	ner
['#NFL', 'Week', '2', 'picks', 'blog', 'is', 'up', 'on', '@The_Score', 'website', '...', 'http://blogs.thescore.com/nfl/2010/09/17/pizzolaw2/']	['JJ', 'NNP', 'CD', 'NNS', 'NN', 'VBZ', 'RP', 'IN', 'IN', 'NN', ':', 'NN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['I', 'like', '@SouljaBoy', 'songs', 'after', 'a', 'few', 'drinks']	['PRP', 'VBP', 'JJ', 'NNS', 'IN', 'DT', 'JJ', 'NNS']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['...', 'asked', 'me', 'a', 'question', 'for', 'once', ',', 'but', 'no', '!', 'You', 'ask', 'me', 'about', 'fucking', 'donuts', 'you', 'donut', '...', 'have', 'a', 'nice', 'day', ':P']	[':', 'VBD', 'PRP', 'DT', 'NN', 'IN', 'RB', ',', 'CC', 'DT', '.', 'PRP', 'VBP', 'PRP', 'IN', 'VBG', 'NNS', 'PRP', 'VBP', ':', 'VBP', 'DT', 'JJ', 'NN', 'VB']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['every', 'year', 'your', '""', 'bestfriend', '""', 'get', 'yo', 'ass', 'in', 'trouble', 'smdh', '#doinme']"	['DT', 'NN', 'PRP$', 'JJ', 'NN', 'NNP', 'VB', 'JJ', 'NN', 'IN', 'NN', 'NN', 'NN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['RT', '@midgetmegs', ':', 'hate', 'people', 'who', 'write', 'drunk', ""status'."", 'must', 'be', 'having', 'a', 'great', 'time', 'if', 'your', 'sat', 'writing', 'it', 'on', 'facebook', '.....']"	['NNP', 'NNS', ':', 'NN', 'NNS', 'WP', 'VBP', 'JJ', 'NN', 'MD', 'VB', 'VBG', 'DT', 'JJ', 'NN', 'IN', 'PRP$', 'NN', 'VBG', 'PRP', 'IN', 'NN', 'NN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'O']
"['@MrzEndy', 'tru', 'tru', 'I', ""'m"", 'leavin', 'again', 'on', 'Tuesday', 'yo']"	['JJ', 'NN', 'NN', 'PRP', 'VBP', 'JJ', 'RB', 'IN', 'NNP', 'NN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['The', 'guys', 'are', 'cooking', 'about', 'a', 'dozen', 'pizzas', 'at', 'our', 'house', 'for', 'the', 'tailgate', 'tonight', '.', 'Nonetheless', 'it', 'smells', 'fresh', 'in', 'this', 'place', '.']	['DT', 'NNS', 'VBP', 'VBG', 'IN', 'DT', 'NN', 'NN', 'IN', 'PRP$', 'NN', 'IN', 'DT', 'NN', 'NN', '.', 'CC', 'PRP', 'VBZ', 'JJ', 'IN', 'DT', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['I', 'heart', 'Park(ing', ')', 'Day', '!', 'Photo', 'of', 'meter', 'shark', ':', 'http://bit.ly/aQun1b']	['PRP', 'NN', 'VBG', ')', 'NNP', '.', 'NN', 'IN', 'NN', 'NN', ':', 'NN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['hows', 'everyones', 'day', 'goin', '?']	['NNS', 'NNS', 'NN', 'VB', '.']	['O', 'O', 'O', 'O', 'O']
['@Phoebe1_', 'and', 'i', 'also', 'loved', 'the', 'last', 'years', 'eurovision', 'entry', '!!', 'hoppaa', '!', 'they', 'were', 'cool', 'too', '!!']	['NN', 'CC', 'NN', 'RB', 'VBD', 'DT', 'JJ', 'NNS', 'VBP', 'NN', 'NN', 'NN', '.', 'PRP', 'VBD', 'VBP', 'RB', 'JJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['MetroPCS', 'has', 'the', 'worst', 'customer', 'service', 'I', ""'ve"", 'experienced', 'in', 'months', '(', 'trying', 'to', 'help', 'someone', 'order', 'a', 'phone', ')', '#metropcs', '#fail']"	['NNP', 'VBZ', 'DT', 'JJS', 'NN', 'NN', 'PRP', 'VBP', 'VBN', 'IN', 'NNS', '(', 'VBG', 'TO', 'VB', 'NN', 'NN', 'DT', 'NN', ')', 'NN', 'NN']	['B-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@xSophieBx', 'He', 'has', 'a', 'habit', 'of', 'tweeting', 'at', 'the', 'same', 'time', 'as', 'you', 'lol']	['NN', 'PRP', 'VBZ', 'DT', 'NN', 'IN', 'VBG', 'IN', 'DT', 'JJ', 'NN', 'IN', 'PRP', 'VBP']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['A', 'TRUE', 'friend', 'walks', 'in', 'when', 'everybody', 'else', 'walks', 'out', '!']	['DT', 'NNP', 'NN', 'NNS', 'IN', 'WRB', 'NN', 'RB', 'VBZ', 'RP', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Yay', '.', '@penguin', 'is', 'coming', 'to', 'see', 'me', 'next', 'week', '...', 'plotting', 'my', 'cooking', 'now', '!']	['NNP', '.', 'NN', 'VBZ', 'VBG', 'TO', 'VB', 'PRP', 'JJ', 'NN', ':', 'VBG', 'PRP$', 'NN', 'RB', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@_mistercory', '*Smiles', 'up', 'at', 'him*', 'Can', 'we', 'just', '...', 'sit', 'together', 'for', 'a', 'while', 'before', 'round', 'two', '?']	['NN', 'VBZ', 'RP', 'IN', 'NNS', 'NNP', 'PRP', 'RB', ':', 'NN', 'RB', 'IN', 'DT', 'NN', 'IN', 'NN', 'CD', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['the', 'tears', 'may', 'have', 'been', 'and', 'gone', ',', 'but', 'the', 'feeling', 'still', 'stay', 'the', 'same', '.']	['DT', 'NNS', 'MD', 'VB', 'VBN', 'CC', 'VBN', ',', 'CC', 'DT', 'NN', 'RB', 'VB', 'DT', 'JJ', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['@BieberEgypt', 'I', ""'ve"", 'got', 'some', 'bad', 'news', ',', 'Yeah', 'I', 'cant', 'come', 'to', 'the', 'meeting', 'tomorrow', '.', ':', 'S']"	['NN', 'PRP', 'VBP', 'VBD', 'DT', 'JJ', 'NN', ',', 'NNP', 'PRP', 'VBP', 'VBN', 'TO', 'DT', 'NN', 'NN', '.', ':', 'NN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['@abzmedic', 'I', ""'m"", 'missing', 'autumn', 'because', 'of', 'work', '.', ':(', 'I', 'must', 'get', 'into', 'the', 'forests', 'tomorrow', '!']"	['JJ', 'PRP', 'VBP', 'VBG', 'NN', 'IN', 'IN', 'NN', '.', 'VB', 'PRP', 'MD', 'VB', 'IN', 'DT', 'NNS', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['Fellas', 'Do', ""n't"", 'just', 'lick', 'the', 'PussyY', ',', 'LOVE', 'IT', '!', 'enjoy', 'it', '.', 'like', 'u', 'just', 'got', 'married', '&lt;', 'the', 'preacher', 'said', 'u', 'may', 'kiss', 'the', 'bride']"	['NNS', 'VBP', 'RB', 'RB', 'VB', 'DT', 'NNP', ',', 'NNP', 'NNP', '.', 'NN', 'PRP', '.', 'IN', 'JJ', 'RB', 'VBD', 'JJ', 'IN', 'DT', 'NN', 'VBD', 'JJ', 'MD', 'VB', 'DT', 'NN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['RT', '@Sexstrology', ':', 'Pisces', 'tend', 'to', 'escape', 'into', 'fantasy', 'and', 'day', 'dreams', '.', 'There', 'they', 'are', 'free', '.']	['NNP', 'NN', ':', 'NNS', 'VBP', 'TO', 'VB', 'IN', 'NN', 'CC', 'NN', 'NNS', '.', 'EX', 'PRP', 'VBP', 'JJ', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Cant', 'wait', 'for', 'the', 'ravens', 'game', 'tomorrow', '....', 'go', 'ray', 'rice', '!!!!!!!']	['JJ', 'NN', 'IN', 'DT', 'NNS', 'NN', 'NN', 'NNP', 'VBP', 'JJ', 'NN', 'NN']	['O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O']
"['I', 'just', 'took', '""', 'When', 'your', 'mom', 'makes', 'you', 'go', 'live', 'with', 'your', 'dad', 'Scooter', 'Braun', ',', 'your', 'life', '...""', 'and', 'got', ':', 'Part', '7', '!', 'Try', 'it', ':', 'http://tinyurl.com/27r2pdz']"	['PRP', 'RB', 'VBD', 'RP', 'WRB', 'PRP$', 'NN', 'VBZ', 'PRP', 'VB', 'JJ', 'IN', 'PRP$', 'NN', 'NNP', 'NNP', ',', 'PRP$', 'NN', 'NN', 'CC', 'VBD', ':', 'VB', 'CD', '.', 'VB', 'PRP', ':', 'NN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['I', 'miss', 'being', 'able', 'to', 'run', 'and', 'dance', 'around', 'all', 'day', 'instead', 'of', 'having', 'to', 'catch', 'my', 'breath', 'every', 'five', 'minutes', 'of', 'my', 'life', '.']	['PRP', 'VBP', 'VBG', 'JJ', 'TO', 'VB', 'CC', 'VB', 'IN', 'DT', 'NN', 'RB', 'IN', 'VBG', 'TO', 'VB', 'PRP$', 'NN', 'DT', 'CD', 'NNS', 'IN', 'PRP$', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@SnoopDogg', 'hey', 'snoop', 'my', 'wife', 'Cath', 'is', '30', 'today', ',', 'any', 'chance', 'of', 'a', 'shout', 'out', 'to', 'her', ',']	['NN', 'NN', 'VBP', 'PRP$', 'NN', 'NNP', 'VBZ', 'CD', 'NN', ',', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'TO', 'PRP$', ',']	['O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['Today', 'I', 'got', 'a', 'promotion', 'at', 'work', ',', 'and', 'tomorrow', 'I', ""'m"", 'going', 'home', 'to', 'Wisconsin', 'for', 'a', 'few', 'days', '.', 'So', 'content', 'with', 'life', 'right', 'now', '.', ':)']"	['NN', 'PRP', 'VBD', 'DT', 'NN', 'IN', 'NN', ',', 'CC', 'NN', 'PRP', 'VBP', 'VBG', 'NN', 'TO', 'NNP', 'IN', 'DT', 'JJ', 'NNS', '.', 'CC', 'JJ', 'IN', 'NN', 'RB', 'RB', '.', 'NN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['TWEET', '!', '@stjosephs', 'Empls', 'of', 'the', 'Month', ':', 'Deborah', 'L', '#Speech', '#Pathologist-Childrens', 'Rehab', 'and', 'Patricia', 'M', '#Referral/#Auth', '#Spec-#Womens', '#Care', '!']	['NN', '.', 'JJ', 'NNP', 'IN', 'DT', 'NNP', ':', 'NNP', 'NNP', 'NNP', 'JJ', 'NNP', 'CC', 'NNP', 'NNP', 'NNP', 'JJ', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O']
['RT', '@LilTwist', ':', 'RT', 'this', 'if', 'you', 'want', 'me', 'to', 'go', 'back', 'live', 'on', 'Ustream', 'later', 'tonight']	['JJ', 'NN', ':', 'VB', 'DT', 'IN', 'PRP', 'VBP', 'PRP', 'TO', 'VB', 'RB', 'JJ', 'IN', 'NNP', 'RB', 'VBD']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'O', 'O']
"['Really', 'hope', 'I', 'can', 'get', 'to', '@glasgowfilm', 'for', 'Winter', ""'s"", 'Bone', '-', 'need', 'to', 'get', 'on', 'with', 'job', 'applications', 'tonight', 'then', '!', 'Trailer', ':', 'http://bit.ly/bhUlum']"	['RB', 'VBP', 'PRP', 'MD', 'VB', 'TO', 'VB', 'IN', 'NNP', 'POS', 'NNP', ':', 'NN', 'TO', 'VB', 'IN', 'IN', 'NN', 'NNS', 'VBD', 'RB', '.', 'NN', ':', 'NN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'I-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['RT', '@WeSpazForJB', ':', 'http://twitpic.com/2nn4ee', '&lt;', '----', 'still', 'the', 'funniest', 'photo', '.', 'of', 'all', 'time', '.', 'ALL', 'TIME', '.']	['NNP', 'NN', ':', 'NN', 'NN', 'NNP', 'RB', 'DT', 'JJS', 'NN', '.', 'IN', 'DT', 'NN', '.', 'DT', 'NNP', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['I', 'have', 'eaten', 'a', 'large', 'quantity', 'of', 'oranges', 'this', 'week', '...']	['PRP', 'VBP', 'VBN', 'DT', 'JJ', 'NN', 'IN', 'NNS', 'DT', 'NN', ':']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Bonfire', 'tonite', '.', 'All', 'are', 'welcome', ',', 'joe', 'included']	['NNP', 'NN', '.', 'DT', 'VBP', 'JJ', ',', 'NN', 'VBD']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O']
['@KFSH', 'totally', '!', 'I', 'can', 'go', 'a', 'week', 'w/o', 'tv', ',', 'phones', 'or', 'a', 'computer', '.', 'I', 'get', 'some', 'time', 'to', 'myself', 'and', 'God', '.', 'Brings', 'peace', 'into', 'my', 'life', '.']	['NNS', 'RB', '.', 'PRP', 'MD', 'VB', 'DT', 'NN', 'JJ', 'NN', ',', 'NNS', 'CC', 'DT', 'NN', '.', 'PRP', 'VBP', 'DT', 'NN', 'TO', 'VB', 'CC', 'NNP', '.', 'NNP', 'NN', 'IN', 'PRP$', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['i', 'want', 'a', 'bath', 'but', 'do', ""n't"", 'have', 'a', 'bath', ',', 'shut', 'up', ',', 'sam', ""'s"", 'coming', 'tomorrow', 'and', 'steve', 'and', 'tanya', 'will', 'be', 'round', 'at', '10am', 'so', 'go', 'away', 'you', 'mean', 'people']"	['NN', 'VBP', 'DT', 'NN', 'CC', 'VBP', 'RB', 'VB', 'DT', 'NN', ',', 'VBD', 'RP', ',', 'NN', 'POS', 'JJ', 'NN', 'CC', 'NN', 'CC', 'NN', 'MD', 'VB', 'VBN', 'IN', 'CD', 'RB', 'VB', 'RP', 'PRP', 'VBP', 'NNS']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'B-person', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['What', 'Do', 'S.F.', 'Rabbis', 'Eat', 'Before', 'and', 'After', 'Yom', 'Kippur', '?', 'We', 'Asked', 'Five', 'to', 'Enlighten', 'Us', '!', 'via', '@SFoodie', 'http://bit.ly/aQrFUz']	['WP', 'VBP', 'NNP', 'NNP', 'NNP', 'NNP', 'CC', 'IN', 'NNP', 'NNP', '.', 'PRP', 'VBD', 'CD', 'TO', 'VB', 'NNP', '.', 'IN', 'NNP', 'NN']	['O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['Not', 'only', 'is', 'it', '#BattlestarGalactica', ""'s"", '32nd', 'Anniversary', ',', 'tonite', 'is', 'the', '3rd', 'season', 'premiere', 'of', '#StarWars', '#TheCloneWars', '!!']"	['RB', 'RB', 'VBZ', 'PRP', 'NNP', 'POS', 'CD', 'NNP', ',', 'NN', 'VBZ', 'DT', 'CD', 'NN', 'NN', 'IN', 'NNS', 'NNS', 'VBP']	['O', 'O', 'O', 'O', 'B-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'O']
"['just', 'about', 'off', 'work', '!', 'going', 'to', 'alderwood', 'again', ':)', 'yay', '.', 'hopefully', 'we', 'got', 'cody', ""'s"", 'ipod', 'in', 'the', 'mail', 'today', '.']"	['RB', 'IN', 'RP', 'NN', '.', 'VBG', 'TO', 'VB', 'RB', 'JJ', 'NN', '.', 'RB', 'PRP', 'VBD', 'NN', 'POS', 'NN', 'IN', 'DT', 'NN', 'NN', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O']
['RT', '@Slijterijmeisje', ':', 'Kreeg', 'net', 'een', 'bruikbare', 'tip', 'van', 'iemand', 'die', 'vorige', 'week', 'was', 'begonnen', 'met', 'een', 'whiskydieet', ',', 'hij', 'was', 'nu', 'al', '3', 'dagen', 'kwijt']	['NNP', 'NN', ':', 'NNP', 'NN', 'NN', 'NN', 'NN', 'NN', 'NN', 'NN', 'FW', 'NN', 'VBD', 'JJ', 'VBD', 'JJ', 'NN', ',', 'NN', 'VBD', 'JJ', 'RB', 'CD', 'NN', 'NN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['Its', 'stupid', 'I', 'hate', 'getn', 'a', 'attitude', 'from', 'ppl', 'when', 'I', ""'m"", 'jus', 'tryna', 'be', 'nice', 'n', 'shit', '.', 'WTF', 'now', 'I', ""'m"", 'mad', 'so', 'dnt', 'talk', 'to', 'me', 'right', 'now']"	['PRP$', 'JJ', 'PRP', 'VBP', 'VB', 'DT', 'NN', 'IN', 'NN', 'WRB', 'PRP', 'VBP', 'JJ', 'NN', 'VB', 'JJ', 'JJ', 'NN', '.', 'NNP', 'RB', 'PRP', 'VBP', 'JJ', 'RB', 'JJ', 'NN', 'TO', 'PRP', 'RB', 'RB']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['RT', '@DamnTeenQuotes', ':', 'I', 'remember', 'when', 'i', 'was', 'your', 'age', ',', 'spencer', 'from', 'iCarly', 'was', 'Crazy', 'Steve', ',', 'Carly', 'was', 'Megan', 'and', 'Josh', 'was', 'fat', '.', '#damnteenquotes']	['NNP', 'VBZ', ':', 'PRP', 'VBP', 'WRB', 'NN', 'VBD', 'PRP$', 'NN', ',', 'NN', 'IN', 'NN', 'VBD', 'NNP', 'NNP', ',', 'NNP', 'VBD', 'NNP', 'CC', 'NNP', 'VBD', 'JJ', '.', 'NNS']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'B-creative-work', 'O', 'B-person', 'I-person', 'O', 'B-person', 'O', 'B-person', 'O', 'B-person', 'O', 'O', 'O', 'O']
['Last', 'stop', 'of', 'the', 'day', 'thank', 'goddddd', '(@', 'H-E-B', 'Plus', ')', 'http://4sq.com/7RDhgd']	['JJ', 'NN', 'IN', 'DT', 'NN', 'VBD', 'JJ', 'NNP', 'NNP', 'NNP', ')', 'NN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['@itzkeving', 'im', 'getting', 'mine', 'off', 'this', 'monday', "":'"", ')']"	['VBG', 'NN', 'VBG', 'PRP', 'IN', 'DT', 'JJ', 'NN', ')']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['#Fancyflow', '..', 'im', 'in', 'the', 'hair', 'salon', 'right', 'now', '..', 'smh', '..', 'Friday', ',', 'its', 'packed', 'in', 'here', 'RT', '@neimanMarcus203', ':', 'Where', 'is', '@ihavesuperpower', '???']	['JJ', 'NNP', 'NN', 'IN', 'DT', 'NN', 'NN', 'RB', 'RB', 'VBZ', 'JJ', 'NNP', 'NNP', ',', 'PRP$', 'VBN', 'IN', 'RB', 'NNP', 'NN', ':', 'WRB', 'VBZ', 'JJR', 'NN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
